ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
249;249;Miguel Pons Tous;Lago San Roque desde Bialet Masse;;0;VERDADERO;1979;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
250;250;Miguel Pons Tous;La Cumbre Nº 2 - Córdoba;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
251;251;Miguel Pons Tous;Parral de Don José - Capilla del Monte;Capilla del Monte;0;VERDADERO;1977;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
252;252;Miguel Pons Tous;La Calera Nº 2 - Córdoba;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
253;253;Miguel Pons Tous;Otoño en las sierras;;0;VERDADERO;1987;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
254;254;Miguel Pons Tous;Primavera en Capilla del Monte;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
255;255;Miguel Pons Tous;Frutas y florero;;0;VERDADERO;1980;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
256;256;Miguel Pons Tous;Pato y cacerola;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;VERDADERO;Autenticado por Miguel Pons Tous;1
257;257;Miguel Pons Tous;Árboles en Capilla del Monte;Capilla del Monte;0;VERDADERO;1979;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
258;258;Miguel Pons Tous;Bailaora;;0;VERDADERO;1977;Óleo en chapadur;35 x 50;;FALSO;FALSO;;1
259;259;Miguel Pons Tous;Rancho de Doña Carmen Torres (parte de atrás) - Santa Catalina - Córdoba;;0;VERDADERO;1981;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
260;260;Miguel Pons Tous;La Cañada Nº 2;;0;VERDADERO;2004;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
261;261;Miguel Pons Tous;El Pajarillo - Capilla del Monte;Capilla del Monte;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
262;262;Miguel Pons Tous;Las Gemelas Nº 3 - Capilla del Monte;Capilla del Monte;0;VERDADERO;1980;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
263;263;Miguel Pons Tous;Capilla del Monte Nº 2;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
